2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - com.intellij.tasks loaded 22 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.gradle loaded 15 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.github loaded 14 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - XPathView loaded 14 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.yaml loaded 12 classes 
2018-06-28 12:34:38,495 [  14694]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.javaFX loaded 11 classes 
2018-06-28 12:34:38,496 [  14695]   INFO - llij.ide.plugins.PluginManager - AntSupport loaded 9 classes 
2018-06-28 12:34:38,496 [  14695]   INFO - llij.ide.plugins.PluginManager - DevKit loaded 8 classes 
2018-06-28 12:34:38,496 [  14695]   INFO - llij.ide.plugins.PluginManager - com.android.tools.idea.smali loaded 5 classes 
2018-06-28 12:34:38,496 [  14695]   INFO - llij.ide.plugins.PluginManager - com.intellij.copyright loaded 3 classes 
2018-06-28 12:34:38,496 [  14695]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.idea.eclipse loaded 2 classes 
2018-06-28 12:34:38,496 [  14695]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.java.decompiler loaded 2 classes 
2018-06-28 12:34:38,496 [  14695]   INFO - llij.ide.plugins.PluginManager - Coverage loaded 2 classes 
2018-06-28 12:34:38,496 [  14695]   INFO - llij.ide.plugins.PluginManager - ByteCodeViewer loaded 2 classes 
2018-06-28 12:34:38,799 [  14998]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:CLASS,kotlin_builtins,JAVA,KJSM,XML,HTML,Kotlin,Groovy,Properties 
2018-06-28 12:34:39,686 [  15885]   INFO - pi.util.registry.RegistryValue - Registry value 'java.completion.argument.hints' has changed to 'false" 
2018-06-28 12:34:39,686 [  15885]   INFO - pi.util.registry.RegistryValue - Registry value 'java.completion.argument.hints.internal' has changed to 'false" 
2018-06-28 12:34:39,811 [  16010]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2018-06-28 12:34:41,090 [  17289]   INFO - j.ide.ui.OptionsTopHitProvider - 1889 ms spent to cache options in application 
2018-06-28 12:34:41,422 [  17621]   WARN - dea.updater.SdkComponentSource - File C:\Users\etenphi\.android\repositories.cfg could not be loaded. 
2018-06-28 12:34:41,427 [  17626]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/addons_list-3.xml 
2018-06-28 12:34:42,270 [  18469]   INFO - pl$FileIndexDataInitialization - Initialization done:5590 
